Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,79.155151,81.898331,77.409485,87.370003,80.697617,251671200
2015-05-01,81.140953,83.209900,78.296173,85.199997,78.693336,198924100
2015-06-01,79.390778,80.061279,77.109169,83.199997,77.481659,238799200
2015-07-01,77.556175,77.788979,73.505150,79.209999,73.765907,273534100
2015-08-01,73.290947,73.840401,61.976032,75.239998,70.068756,387356600
2015-09-01,68.900803,70.940567,67.218231,74.349998,69.887779,316644500
2015-10-01,70.686768,78.845818,68.647003,82.739998,77.774231,318050000
2015-11-01,77.360641,82.192169,73.234123,81.660004,76.759064,264207900
2015-12-01,77.523010,77.873848,69.966049,77.949997,73.910461,366953700
2016-01-01,73.483780,75.778366,67.842125,77.849998,73.815651,418597900
2016-02-01,72.687332,79.115959,69.738480,80.150002,75.996452,359915800
2016-03-01,77.078499,81.422295,76.839294,83.589996,79.977547,292841700
2016-04-01,78.838982,85.900032,78.446693,88.400002,84.579681,221737100
2016-05-01,84.426590,86.550652,83.460251,89.019997,85.172882,218945200
2016-06-01,85.319458,90.529518,84.528305,93.739998,90.442673,252033000
2016-07-01,90.076050,92.189011,83.090714,88.949997,85.821167,209716200
2016-08-01,84.981766,85.811516,82.569710,87.139999,84.074829,235412300
2016-09-01,84.383102,86.961700,80.072487,87.279999,84.928009,271447100
2016-10-01,84.597176,86.280556,80.753624,83.320000,81.074722,192041100
2016-11-01,81.249878,85.813499,80.529816,87.300003,84.947479,233089000
2016-12-01,86.367210,91.511147,85.012497,90.260002,88.605408,220435500
2017-01-01,89.272942,89.665604,81.606110,83.889999,82.352180,252440300
2017-02-01,82.460167,82.617233,79.279556,81.320000,79.829292,237345100
2017-03-01,80.935699,83.461853,79.558708,82.010002,81.242805,315475000
2017-04-01,81.252708,82.768402,79.548805,81.650002,80.886177,192624700
2017-05-01,80.747482,82.451393,79.717216,80.500000,79.746933,220122400
2017-06-01,80.370003,83.690002,79.260002,82.930000,82.930000,111456400
2017-06-13,82.830002,83.269997,82.570000,82.959999,82.959999,12175524
